Sector,Timestamp,Water Consumption (liters/day),Electricity Consumption (kWh/day)
Amberpet,2022-01-01 00:00:00,222.77764609278137,179.35009200905495
Sanathnagar,2022-01-01 00:00:00,759.6947423485049,84.20095575178973
Khairatabad,2022-01-01 00:00:00,285.2979632866761,359.16510520113775
Musheerabad,2022-01-01 00:00:00,670.2164000211076,435.98554731938617
Nampally,2022-01-01 00:00:00,243.56178797520363,251.49876093793307
Secunderad,2022-01-01 00:00:00,488.45962670333836,275.1404954184367
Financial District,2022-01-01 00:00:00,594.0529170198074,214.50661939619891
HITEC City,2022-01-01 00:00:00,378.72097943092285,284.932018636086
Jubilee Hills,2022-01-01 00:00:00,989.3307970736657,438.00387457176845
Kukatpally,2022-01-01 00:00:00,249.2905274435966,485.2921512971635
Patancheru,2022-01-01 00:00:00,703.0190670103176,486.58415923671413
Balanagar,2022-01-01 00:00:00,436.3540484508685,232.39897729860044
Medchal,2022-01-01 00:00:00,934.8403423943048,84.70768303010378
Alwal,2022-01-01 00:00:00,184.08438368515033,481.0788340574232
Dilsukhnagar,2022-01-01 00:00:00,737.5718264380679,294.16796849650717
LB Nagar,2022-01-01 00:00:00,802.2678053590183,264.57663641400376
Amberpet,2022-01-02 00:00:00,242.98559348006867,287.53141366362195
Sanathnagar,2022-01-02 00:00:00,425.53889060157576,171.70390514040676
Khairatabad,2022-01-02 00:00:00,307.5666746103203,498.93305711252543
Musheerabad,2022-01-02 00:00:00,522.6218217014168,470.16698904943405
Nampally,2022-01-02 00:00:00,683.5865835123001,330.4525543848454
Secunderad,2022-01-02 00:00:00,249.81704088426403,92.04068472159025
Financial District,2022-01-02 00:00:00,440.8353307555257,276.61457925013093
HITEC City,2022-01-02 00:00:00,885.7953570898158,484.35297705393435
Jubilee Hills,2022-01-02 00:00:00,436.4389276550144,395.8867020625397
Kukatpally,2022-01-02 00:00:00,661.6820205868139,484.54165512671915
Patancheru,2022-01-02 00:00:00,659.6439468521694,443.5456196851516
Balanagar,2022-01-02 00:00:00,281.3939781125829,318.4507952320907
Medchal,2022-01-02 00:00:00,814.4904544323377,85.25518052052747
Alwal,2022-01-02 00:00:00,221.17357990979295,104.33178890624535
Dilsukhnagar,2022-01-02 00:00:00,900.5627648560494,445.82252889464104
LB Nagar,2022-01-02 00:00:00,892.0890788989892,499.9669740888801
Amberpet,2022-01-03 00:00:00,709.5310867449793,370.0975141067847
Sanathnagar,2022-01-03 00:00:00,554.9492053682029,93.25517165227689
Khairatabad,2022-01-03 00:00:00,314.5847238792943,243.87501128174213
Musheerabad,2022-01-03 00:00:00,622.8772921878029,128.08916181253525
Nampally,2022-01-03 00:00:00,648.2588761005617,136.79832339189065
Secunderad,2022-01-03 00:00:00,567.5617586499711,142.69135020933885
Financial District,2022-01-03 00:00:00,344.35062909620547,120.11966350875237
HITEC City,2022-01-03 00:00:00,788.741058874796,466.7635645555351
Jubilee Hills,2022-01-03 00:00:00,374.26582240805567,397.5404943855763
Kukatpally,2022-01-03 00:00:00,805.2552070280383,436.14417003934057
Patancheru,2022-01-03 00:00:00,825.2894063415597,383.57931028409763
Balanagar,2022-01-03 00:00:00,827.4395539709611,262.66331573634966
Medchal,2022-01-03 00:00:00,799.0330930176891,133.21990895667386
Alwal,2022-01-03 00:00:00,914.8628038975486,95.04305972389061
Dilsukhnagar,2022-01-03 00:00:00,165.71428681945702,326.4191040570441
LB Nagar,2022-01-03 00:00:00,389.7801029942087,96.22221066390603
Amberpet,2022-01-04 00:00:00,599.3249590966436,384.03009528888015
Sanathnagar,2022-01-04 00:00:00,223.459747219669,200.01998607300598
Khairatabad,2022-01-04 00:00:00,144.118212394946,268.1517931111257
Musheerabad,2022-01-04 00:00:00,946.5007190359157,226.99668014837914
Nampally,2022-01-04 00:00:00,579.8771951809733,272.7645547293804
Secunderad,2022-01-04 00:00:00,657.7894056554393,173.39014874610493
Financial District,2022-01-04 00:00:00,405.1967233287959,325.03981371949186
HITEC City,2022-01-04 00:00:00,916.7830885106458,444.9586685265979
Jubilee Hills,2022-01-04 00:00:00,847.4757971548458,330.64647256689244
Kukatpally,2022-01-04 00:00:00,623.5373156237954,244.86910831168336
Patancheru,2022-01-04 00:00:00,989.5018901000304,118.44947977798098
Balanagar,2022-01-04 00:00:00,332.22786395809214,74.90004750101393
Medchal,2022-01-04 00:00:00,150.85602404573973,173.89310366296053
Alwal,2022-01-04 00:00:00,783.3425235516991,212.94343674315553
Dilsukhnagar,2022-01-04 00:00:00,849.4838475170945,434.7774339237923
LB Nagar,2022-01-04 00:00:00,861.1920179294433,290.13675386648526
Amberpet,2022-01-05 00:00:00,646.3986751969924,57.74157022263361
Sanathnagar,2022-01-05 00:00:00,927.5509807657297,378.33726595245406
Khairatabad,2022-01-05 00:00:00,213.73655452920747,270.78231345389145
Musheerabad,2022-01-05 00:00:00,410.75885839988325,86.1629174937629
Nampally,2022-01-05 00:00:00,104.09239988988024,124.21803329641838
Secunderad,2022-01-05 00:00:00,755.15205238222,296.4619966164273
Financial District,2022-01-05 00:00:00,904.8243490967224,137.1839149289047
HITEC City,2022-01-05 00:00:00,644.94029151508,459.54799674652514
Jubilee Hills,2022-01-05 00:00:00,838.3189038439074,379.2874829711532
Kukatpally,2022-01-05 00:00:00,163.91233573719248,285.9387199009633
Patancheru,2022-01-05 00:00:00,786.005340876922,440.945155967536
Balanagar,2022-01-05 00:00:00,311.5034276357779,80.1439862513066
Medchal,2022-01-05 00:00:00,586.9262779429706,404.6568749139519
Alwal,2022-01-05 00:00:00,253.2906424100403,154.6323629241383
Dilsukhnagar,2022-01-05 00:00:00,477.3851264972914,62.36908625648326
LB Nagar,2022-01-05 00:00:00,920.3756688664664,338.5472584855876
Amberpet,2022-01-06 00:00:00,854.383182058571,457.7049051221779
Sanathnagar,2022-01-06 00:00:00,771.9554158235057,409.8406189598788
Khairatabad,2022-01-06 00:00:00,204.80235190886768,455.0655658089078
Musheerabad,2022-01-06 00:00:00,421.9762802703817,452.00331014326423
Nampally,2022-01-06 00:00:00,203.94296173189062,409.1672483560568
Secunderad,2022-01-06 00:00:00,447.16238527762545,498.7573921038579
Financial District,2022-01-06 00:00:00,778.9915067463013,185.68953616463799
HITEC City,2022-01-06 00:00:00,269.78358579790404,364.5907096241058
Jubilee Hills,2022-01-06 00:00:00,287.9873939925377,134.70484741773242
Kukatpally,2022-01-06 00:00:00,257.3647027464267,356.8164761482016
Patancheru,2022-01-06 00:00:00,126.76626981587962,485.7099129011161
Balanagar,2022-01-06 00:00:00,589.9175393486594,471.88773103949075
Medchal,2022-01-06 00:00:00,190.48249387270948,204.02702325452432
Alwal,2022-01-06 00:00:00,619.9599383214716,403.6749906350735
Dilsukhnagar,2022-01-06 00:00:00,583.7139533176729,72.43084082479994
LB Nagar,2022-01-06 00:00:00,444.389826853431,468.48572543941464
Amberpet,2022-01-07 00:00:00,374.9479270618875,299.20611263157036
Sanathnagar,2022-01-07 00:00:00,387.66563150525474,353.47370585994594
Khairatabad,2022-01-07 00:00:00,227.63700449981815,117.16943324860233
Musheerabad,2022-01-07 00:00:00,403.2636382088805,162.07511383363425
Nampally,2022-01-07 00:00:00,746.7893367778009,261.6912550137081
Secunderad,2022-01-07 00:00:00,155.8938548887191,458.9978767917149
Financial District,2022-01-07 00:00:00,262.0150916743181,259.1483551694008
HITEC City,2022-01-07 00:00:00,285.54236730386333,176.57931286251147
Jubilee Hills,2022-01-07 00:00:00,174.96955246069692,77.50278771124944
Kukatpally,2022-01-07 00:00:00,588.0025240331398,235.30852315329284
Patancheru,2022-01-07 00:00:00,809.65922400283,459.0724113226143
Balanagar,2022-01-07 00:00:00,438.02761348876123,339.9987424118958
Medchal,2022-01-07 00:00:00,948.2126661443315,399.4804873239731
Alwal,2022-01-07 00:00:00,867.4974425266314,131.01609839000932
Dilsukhnagar,2022-01-07 00:00:00,609.7400517291777,117.083430823012
LB Nagar,2022-01-07 00:00:00,233.29249250628388,147.9254727222287
Amberpet,2022-01-08 00:00:00,192.61677894162324,367.14561845148813
Sanathnagar,2022-01-08 00:00:00,683.7578253824936,413.11059324111113
Khairatabad,2022-01-08 00:00:00,791.366902251408,199.49344628510073
Musheerabad,2022-01-08 00:00:00,275.4680395392844,435.238246540578
Nampally,2022-01-08 00:00:00,796.8472055188594,199.93181792152149
